0,TAPESERVER_NULL," - "
1,TAPESERVER_STARTED,"tapeserverd started"
2,TAPESERVER_FAILED_TO_START,"tapeserverd failed to start"
3,TAPESERVER_RECEIVED_VDQM_CONNECTION,"Received a connection from VDQM"
4,TAPESERVER_HANDLE_VDQM_REQUEST_EXCEPT,"Exception raised when handling a request from the VDQM"
5,TAPESERVER_FAILED_TO_READ_MESSAGE_HEADER,"Failed to read message header"
6,TAPESERVER_UNKNOWN_MAGIC,"Unknown magic number"
7,TAPESERVER_UNKNOWN_REQUEST_TYPE,"Unknown request type"
8,TAPESERVER_FAILED_TO_READ_MESSAGE_BODY,"Failed to read message body"
9,TAPESERVER_RECEIVE_RTCOPY_JOB,"Receiving remote-copy job"
10,TAPESERVER_RECEIVED_RTCOPY_JOB,"Received remote-copy job"
11,TAPESERVER_SUBMITTING_RTCOPY_JOB_TO_RTCPD,"Submitting remote-copy job to RTCPD"
12,TAPESERVER_FAILED_TO_SUBMIT_JOB_TO_RTCPD,"Failed to submit remote-copy job to RTCPD"
13,TAPESERVER_FAILED_TO_MARSHALL_RTCP_ACKN,"Failed to marshall RTCP acknowledge message"
14,TAPESERVER_FAILED_TO_SEND_RTCOPY_JOB_REPLY_TO_VDQM,"Failed to send remote-copy job reply to VDQM"
15,TAPESERVER_FAILED_TO_PROCESS_RCOPY_JOB_SUBMISSION,"Failed to process remote-copy job submission message"
16,TAPESERVER_RTCPD_HANDLER_SOCKET_IS_NULL,"The RtcpdHandlerThread has been passed a NULL socket pointer"
17,TAPESERVER_INITIAL_RTCPD_CALLBACK,"Received initial callback connection from RTCPD"
18,TAPESERVER_RTCPD_CALLBACK,"Received a callback connection from RTCPD"
19,TAPESERVER_GOT_VOLREQID,"Got volume request ID from RTCPD"
20,TAPESERVER_FAILED_TO_GET_VOLREQID,"Failed to get volume request ID from RTCPD"
21,TAPESERVER_FAILED_TO_MARSHALL_RTCOPY_JOB_REPLY_MESSAGE,"Failed to marshall remote-copy job reply message"
22,TAPESERVER_SIGNALLED_NO_MORE_REQUESTS,"Signalled no more requests to RTCPD"
23,TAPESERVER_FAILED_TO_COORDINATE_REMOTE_COPY,"Failed to coordinate remote-copy"
24,TAPESERVER_TRANSFER_FAILED,"Transfer failed"
25,TAPESERVER_GAVE_REQUEST_FOR_MORE_WORK,"Gave request for more work to RTCPD"
26,TAPESERVER_DATA_ON_INITIAL_RTCPD_CONNECTION,"Data has arrived on the initial RTCPD connection"
27,TAPESERVER_RECEIVED_RTCP_ENDOF_REQ,"Received RTCP_ENDOF_REQ"
28,TAPESERVER_TAPE_POSITIONED,"Tape positioned"
29,TAPESERVER_FILE_TRANSFERED,"File transfered"
30,TAPESERVER_GET_REQUEST_INFO_FROM_RTCPD,"Getting request information from RTCPD"
31,TAPESERVER_GOT_REQUEST_INFO_FROM_RTCPD,"Got request information from RTCPD"
32,TAPESERVER_TOLD_CLIENT_TO_START_TRANSFER,"Told client to start the transfer protocol"
33,TAPESERVER_GET_VOLUME_FROM_CLIENT,"Getting volume from client"
34,TAPESERVER_GOT_VOLUME_FROM_CLIENT,"Got volume from client"
35,TAPESERVER_GOT_NO_MORE_FILES_FROM_CLIENT,"Got no more files from client"
36,TAPESERVER_GET_FILE_TO_MIGRATE_FROM_CLIENT,"Getting file to migrate from client"
37,TAPESERVER_GOT_FILE_TO_MIGRATE_FROM_CLIENT,"Got file to migrate from client"
38,TAPESERVER_GET_FILE_TO_RECALL_FROM_CLIENT,"Getting file to recall from client"
39,TAPESERVER_GOT_FILE_TO_RECALL_FROM_CLIENT,"Got file to recall from client"
40,TAPESERVER_GIVE_VOLUME_TO_RTCPD,"Giving volume to RTCPD"
41,TAPESERVER_GAVE_VOLUME_TO_RTCPD,"Gave volume to RTCPD"
42,TAPESERVER_ASK_RTCPD_TO_RQST_MORE_RECALL_WORK,"Asking RTCPD to request more recall work"
43,TAPESERVER_ASKED_RTCPD_TO_RQST_MORE_RECALL_WORK,"Asked RTCPD to request more recall work"
44,TAPESERVER_ASK_RTCPD_TO_RQST_MORE_MIGRATE_WORK,"Asking RTCPD to request more migrate work"
45,TAPESERVER_ASKED_RTCPD_TO_RQST_MORE_MIGRATE_WORK,"Asked RTCPD to request more migrate work"
46,TAPESERVER_TELL_RTCPD_DUMP_TAPE,"Telling RTCPD to dump tape"
47,TAPESERVER_TOLD_RTCPD_DUMP_TAPE,"Told RTCPD to dump tape"
48,TAPESERVER_TELL_RTCPD_END_OF_FILE_LIST,"Telling RTCPD end of file list"
49,TAPESERVER_TOLD_RTCPD_END_OF_FILE_LIST,"Told RTCPD end of file list"
50,TAPESERVER_TELL_RTCPD_TO_ABORT,"Telling RTCPD to abort"
51,TAPESERVER_TOLD_RTCPD_TO_ABORT,"Told RTCPD to abort"
52,TAPESERVER_GIVE_RECALL_FILE_TO_RTCPD,"Giving recall file to RTCPD"
53,TAPESERVER_GAVE_RECALL_FILE_TO_RTCPD,"Gave recall file to RTCPD"
54,TAPESERVER_GIVE_MIGRATE_FILE_TO_RTCPD,"Giving migrate file to RTCPD"
55,TAPESERVER_GAVE_MIGRATE_FILE_TO_RTCPD,"Gave migrate file to RTCPD"
56,TAPESERVER_RECEIVE_MSGBODY_FROM_RTCPD,"Receiving message body from RTCPD"
57,TAPESERVER_RECEIVED_MSGBODY_FROM_RTCPD,"Received message body from RTCPD"
58,TAPESERVER_RECEIVE_FILERQSTBODY_FROM_RTCPD,"Receiving FileRqstBody from RTCPD"
59,TAPESERVER_RECEIVED_FILERQSTBODY_FROM_RTCPD,"Received FileRqstBody from RTCPD"
60,TAPESERVER_RECEIVE_FILERQSTERRBODY_FROM_RTCPD,"Receiving FileRqstErrBody from RTCPD"
61,TAPESERVER_RECEIVED_FILERQSTERRBODY_FROM_RTCPD,"Received FileRqstErrBody from RTCPD"
62,TAPESERVER_PROCESSING_TAPE_DISK_RQST,"Processing a tape/disk IO request from RTCPD"
63,TAPESERVER_PING_RTCPD,"Pinging RTCPD"
64,TAPESERVER_PINGED_RTCPD,"Pinged RTCPD"
65,TAPESERVER_SEND_ACK_TO_RTCPD,"Sending acknowledge to RTCPD"
66,TAPESERVER_SENT_ACK_TO_RTCPD,"Sent acknowledge to RTCPD"
67,TAPESERVER_SEND_HEADER_TO_RTCPD,"Sending message header to RTCPD"
68,TAPESERVER_SENT_HEADER_TO_RTCPD,"Sent message header to RTCPD"
69,TAPESERVER_RECEIVE_TAPERQSTBODY,"Receiving tape request message body"
70,TAPESERVER_RECEIVED_TAPERQSTBODY,"Received tape request message body"
71,TAPESERVER_RECEIVE_GIVEOUTPBODY,"Receiving GIVE_OUTP message body"
72,TAPESERVER_RECEIVED_GIVEOUTPBODY,"Received GIVE_OUTP message body"
73,TAPESERVER_RECEIVE_TAPERQSTERRBODY,"Receiving tape request message body with error appendix"
74,TAPESERVER_RECEIVED_TAPERQSTERRBODY,"Received tape request message body with error appendix"
75,TAPESERVER_SEND_DELAYED_REQUEST_MORE_WORK_ACK_TO_RTCPD,"Sending delayed acknowledge of request for more work to RTCPD"
76,TAPESERVER_SENT_DELAYED_REQUEST_MORE_WORK_ACK_TO_RTCPD,"Sent delayed acknowledge of request for more work to RTCPD"
77,TAPESERVER_CREATED_RTCPD_CALLBACK_PORT,"Created TCP/IP port for RTCPD callbacks"
78,TAPESERVER_CONNECTION_CLOSED_BY_RTCPD,"Connection closed by RTCPD"
79,TAPESERVER_CLOSED_CONNECTION,"Connection closed by tapeserver"
80,TAPESERVER_NOTIFY_CLIENT_FILE_MIGRATED,"Notifying client file migrated"
81,TAPESERVER_NOTIFIED_CLIENT_FILE_MIGRATED,"Notified client file migrated"
82,TAPESERVER_NOTIFY_CLIENT_FILE_RECALLED,"Notifying client file recalled"
83,TAPESERVER_NOTIFIED_CLIENT_FILE_RECALLED,"Notified client file recalled"
84,TAPESERVER_NOTIFY_CLIENT_END_OF_SESSION,"Notifying client end of session"
85,TAPESERVER_NOTIFIED_CLIENT_END_OF_SESSION,"Notified client end of session"
86,TAPESERVER_GET_DUMP_PARAMETERS_FROM_CLIENT,"Getting dump parameters from client"
87,TAPESERVER_GOT_DUMP_PARAMETERS_FROM_CLIENT,"Got dump parameters from client"
88,TAPESERVER_NOTIFY_CLIENT_DUMP_MESSAGE,"Notifying client dump message"
89,TAPESERVER_NOTIFIED_CLIENT_DUMP_MESSAGE,"Notified client dump message"
90,TAPESERVER_FAILED_TO_NOTIFY_CLIENT_END_OF_SESSION,"Failed to notify client end of session"
91,TAPESERVER_NOTIFY_CLIENT_END_OF_FAILED_SESSION,"Notifying client end of failed session"
92,TAPESERVER_NOTIFIED_CLIENT_END_OF_FAILED_SESSION,"Notified client end of failed session"
93,TAPESERVER_FAILED_TO_NOTIFY_CLIENT_END_OF_FAILED_SESSION,"Failed to notify client end of failed session"
94,TAPESERVER_SELECT_INTR,"Select interrupted"
95,TAPESERVER_ENTERING_BRIDGE_MODE,"Entering bridge mode"
96,TAPESERVER_PING_CLIENT,"Pinging client"
97,TAPESERVER_PINGED_CLIENT,"Pinged client"
98,TAPESERVER_CLOSED_INITIAL_CALLBACK_CONNECTION,"Closed initial callback connection"
99,TAPESERVER_RECEIVED_TAPE_INFO_FROM_VMGR,"Received tape information from VMGR"
100,TAPESERVER_SENT_FILETOMIGRATEREQUEST,"Sent FileToMigrateRequest to client"
101,TAPESERVER_RECEIVED_FILETOMIGRATE,"Received FileToMigrate from client"
102,TAPESERVER_SENT_FILETORECALLREQUEST,"Sent FileToRecallRequest to client"
103,TAPESERVER_RECEIVED_FILETORECALL,"Received FileToRecall from client"
104,TAPESERVER_SENT_FILEMIGRATEDNOTIFICATION,"Sent FileMigratedNotification to client"
105,TAPESERVER_SENT_FILERECALLEDNOTIFICATION,"Sent FileRecalledNotification to client"
106,TAPESERVER_RECEIVED_NOMOREFILES,"Recieved NoMoreFiles from client"
107,TAPESERVER_RECEIVED_ACK_OF_NOTIFICATION,"Recieved acknowledge of notification from client"
108,TAPESERVER_RECEIVED_ENDNOTIFCATIONERRORREPORT,"Received EndNotificationErrorReport from client"
109,TAPESERVER_RECEIVED_NOTIFCATIONACKNOWLEDGE,"Received NotificationAcknowledge from client"
110,TAPESERVER_SEND_END_OF_SESSION_TO_RTCPD,"Sending end-of-session to RTCPD"
111,TAPESERVER_FAILED_TO_PARSE_TPCONFIG,"Failed to parse TPCONFIG file"
112,TAPESERVER_PARSED_TPCONFIG,"Parsed TPCONFIG"
113,TAPESERVER_CLOSED_RTCPD_DISK_TAPE_CONNECTION_DUE_TO_PEER,"Closed rtcpd disk/tape IO control connection due to rtcpd closing its end"
114,TAPESERVER_TOO_MANY_DRIVES_IN_TPCONFIG,"There are more drives in the TPCONFIG file than there were when tapeserverd was started.  Please restart tapeserverd."
